Personnage,Réplique
ARTHUR,Mais qu’est-ce que vous foutez ?
BOHORT,Je crois que je vais me sentir mal…
ARTHUR,Tirez-vous !
KARADOC,Qu’est-ce qui se passe ?
KARADOC,Et ça ?
KARADOC,Qu’est-ce qu’il y a ?
KARADOC,Un oreiller ?
DAME MEVANWI,Exactement. Je vais vous demander de le mémoriser.
DAME MEVANWI,Ça y est ?
KARADOC,Je crois…
DAME MEVANWI,Alors ?
KARADOC,Alors quoi ?
DAME MEVANWI,Votre première impression ?
KARADOC,Je sais pas bien quoi dire…
DAME MEVANWI,Écoutez… Vous m’aimez ?
KARADOC,Bah oui !
DAME MEVANWI,Vous comptez me garder ?
KARADOC,Oui !
DAME MEVANWI,Venez !
KARADOC,Je le sens pas…
KARADOC,Je suis pas dans mon assiette.
DAME MEVANWI,Vous m’avez fait tout un cirque parce que vous vouliez pas le prendre tout seul !
DAME MEVANWI,Alors ?
KARADOC,Ouais…
DAME MEVANWI,Ouais quoi ?
KARADOC,C’est pas mal. Ça détend.
KARADOC,Il manque quelque chose.
DAME MEVANWI,Du savon ?
DAME MEVANWI,Est-ce que vous savez que vous ne vous êtes pas savonné ?
DAME MEVANWI,Et entre les orteils. Parce que je suppose que vous ne comptez pas vous immerger de façon régulière…
DAME MEVANWI,Vous savez que je prends quatre bains par semaine ?
ARTHUR,Karadoc !
ARTHUR,J’arrive à peine…
ARTHUR,Mais j’en sais rien ! Je viens justement vous voir parce que je sais pas ce que j’ai !
MERLIN,C’est peut-être une indigestion ?
ARTHUR,Pourquoi une indigestion plus qu’autre chose ? Je vous ai même pas dit là où j’ai mal !
MERLIN,Je dis une indigestion… comme je pourrais dire autre chose ; c’est pour aider ! Vous avez mal au ventre ?;
ARTHUR,Non.
ARTHUR,Je supporte plus la lumière du jour.
MERLIN,C’est-à-dire ?
MERLIN,Quel autre con ?
MERLIN,Ah ouais. Un Dace ?
ARTHUR,Trois jours ? Vous pouvez rien faire tout de suite ?
LANCELOT,Sire ?
ARTHUR,J’ai froid.
LANCELOT,Vous voulez que je vous fasse porter une couverture ?
ARTHUR,J’ai froid en dedans.
ARTHUR,Vous savez ce que je suis en train de devenir ?
LANCELOT,Pourquoi ?
ARTHUR,Pour éviter que vous ne me tuiez le premier.
DEMETRA,Ah ! Au secours ! À l’aide !
ARTHUR,Je sais pas mais c’est plutôt marrant !
DEMETRA,Vous voulez que je vous fasse une tartine de tomate frottée à l’ail ?
MERLIN,Ça fait effet ?
ARTHUR,Ça me fait bizarre.
LANCELOT,Seigneur Bohort… Ça va ? Vous avez pas l’air dans votre assiette…
LANCELOT,Mais… vous êtes dans votre assiette ou pas ?
ARTHUR,Je vous dis que c’est pas grave !
BOHORT,Je ne supporte plus la neige.
BOHORT,En blanc.
BOHORT,Reconstruisons Kaamelott en Andalousie !
ARTHUR,Qu’est-ce que vous voulez qu’on aille foutre en Andalousie ?
BOHORT,Mais on s’en fout ! On les défonce ! Et après : (les bras au ciel) du soleil dans nos cœurs !
ARTHUR,Exactement.
BOHORT,Je ne peux pas accepter.
LANCELOT,Quoi ? Mais qu’est-ce que vous racontez ?
LANCELOT,Quelle princesse ?
ARTHUR,Bohort. Je vous donne l’ordre de vous rendre immédiatement en Andalousie pour y rencontrer le Chef wisigoth et lui transmettre le message de paix suivant : « Coucou. »
BOHORT,Mais… Sire…
ARTHUR,Foutez le camp ou je vous colle au cachot.
BOHORT,Sire ! C’est trop ! Je ne peux pas accepter !
BOHORT,Sire ! Vous n’allez pas me tirer dessus !
BOHORT,Ah ! Sire ! C’est passé à ça !
ARTHUR,Pourquoi vous pensez à ça ?
LÉODAGAN,Je sais pas. Ça m’embête de jamais savoir ce qu’ils ont dans le crâne.
LÉODAGAN,Et si on faisait quelque chose pour remonter notre cote ?
ARTHUR,Qu’est-ce que vous voulez qu’on fasse ? Qu’on aille prendre une murge avec eux à la salle des gardes ?
LÉODAGAN,Mais non ! Quelque chose de prestigieux ! Qu’ils se disent que c’est pas pour rien si c’est nous les patrons.
ARTHUR,Mais il y a pas besoin…
ARTHUR,Vous voulez vraiment pas me dire où on va ?
ARTHUR,Sauf que vous êtes paumé.
LÉODAGAN,Pas du tout !
ARTHUR,Vous arrêtez pas de regarder de tous les côtés ! Vous êtes paumé.
LÉODAGAN,On va dans un temple perdu et je vous en ai déjà trop dit.
ARTHUR,Une hydre à six têtes !
LÉODAGAN,Ah ! Et alors ?
ARTHUR,J’ai failli y rester.
LÉODAGAN,Ho… ?
ARTHUR,C’est pas le temple de Miler…
LÉODAGAN,C’est celle-là quoi ?
ARTHUR,Vous vous doutez bien que je me suis pas farci une hydre à six têtes pour repartir comme j’étais venu ! J’ai tout pris !
LÉODAGAN,Quoi ? C’est une blague ?
ARTHUR,Oui mais la moitié de combien ?
LÉODAGAN,La moitié de quinze mille.
ARTHUR,Eh ben…
ARTHUR,Hein ?
ARTHUR,Ah !
ARTHUR,Des mesures par rapport à quoi ?
ARTHUR,Eh ben vous manquez pas de souffle !
ARTHUR,Une quoi ?
ARTHUR,Mais…
ARTHUR,Ah bah merde…
LANCELOT,Les Démons ? C’est une porte dimensionnelle qui donne sur le plan démonique ?
BOHORT,Je disais « Démons » comme j’aurais pu dire autre chose !
ARTHUR,Ça veut dire qu’avec Merlin ?
BOHORT,Nous allons tous mourir ! Partons d’ici sur le champ !
BOHORT,Mais arrêtez de réfléchir et allez faire vos valises avant qu’un gugusse ne débaroule de je ne sais quelle galaxie pour nous désintégrer !
BOHORT,Mon Dieu… Les Démons sont en route…
LANCELOT,C’est pas des Démons !
BOHORT,Ah merde ! Laissez-moi profiter de mes derniers instants.
LANCELOT,Quoi ?
BOHORT,Vous vous connaissez ?
BOHORT,Il parle notre langue !
ARTHUR,Mais qu’est-ce que c’est que ce bordel ?
LANCELOT,D’où est-ce que vous venez ?
ARTHUR,Dans ce genre-là ?
BOHORT,Ses intentions sont-elles pacifiques ?
LANCELOT,Vous voulez dire que cette porte mène…
BOHORT,Cette voix m’est familière…
BOHORT,Ah ! Ah ! J’étouffe ! À moi ! Je suis touché par une arme d’une civilisation supérieure !
BOHORT,Seigneur Perceval ? Mais où est la créature ?
ARTHUR,Ah bon ?
ARTHUR,Quand est-ce que je vous ai fait confiance ?
KARADOC,Bah là… Puisque je vous seconde !
ARTHUR,Moi aussi.
KARADOC,Vous êtes stressé ?
ARTHUR,J’en sais rien. Ils vont bien nous le dire !
KARADOC,Genre comme ça ?
ARTHUR,Non mais j’aime bien quand vous venez. J’ai toujours été fasciné par le monde paysan…
ROPARZH,Ma vache est allée faire un tour sur son champ…
ROPARZH,Il me rembourse la bête ou ce sera un bain de sang.
ARTHUR,Alors quoi ? Magnez-vous !
ARTHUR,Quoi ?
ROPARZH,Voilà ! Bien ! Ça c’est du gouvernement !
ARTHUR,C’est un beau geste que vous avez fait mais on peut pas tout régler comme ça ! Vous allez pas donner une vache personnelle à chaque…
ARTHUR,Quoi ?
KARADOC,Moi je disais ça en tant que Chevalier de Kaamelott ! On lui donne une vache de
ARTHUR,Vœu de quoi ?
YVAIN,Vœu de probité.
GAUVAIN,Heu… dans les grandes lignes…
ARTHUR,Qu’est-ce qui se passe ? Une catastrophe ?
ARTHUR,Par rapport à quoi ?
BOHORT,Je ne sais jamais si je dois envoyer un carton pour une ou pour deux personnes !
ARTHUR,C’est pas la peine de parler doucement !
BOHORT,Une fois pour toutes : est-ce que – oui ou non – le Seigneur Lancelot a fait vœu de chasteté ?
BOHORT,On ne le voit jamais accompagné !
ARTHUR,Si ?
LÉODAGAN,Quels vœux ?
ARTHUR,Et alors ?
PERCEVAL,C’est pas vous qui avez fait vœu de pénitence ?
PERCEVAL,Moi non plus ! Ça risque pas d’être moi !
ARTHUR,C’est un peu gênant…
LANCELOT,Vœu de chasteté ? Mais absolument pas !
LANCELOT,Quelle idée !
LANCELOT,Le plus plausible ?
ARTHUR,Ah ?
LÉODAGAN,Ça vous inquiète ?
MERLIN,Pas moyen de quoi ?
LÉODAGAN,Pourquoi quoi ?
LÉODAGAN,Je vais quand même pas commencer à écouter ses justifications ! Je vais passer pour quoi ?
LÉODAGAN,Écoutez son môme…
MERLIN,Eh ben ?
YVAIN,C’est quoi cette mascarade ?
YVAIN,On mange que tous les trois ! Comme par hasard !
DAME SÉLI,Peut-être qu’on a besoin de vous parler !
YVAIN,J’en étais sûr !
DAME SÉLI,Restez assis !
YVAIN,Non !
LÉODAGAN,Donc : l’écoute. (à Yvain) Allez-y.
YVAIN,Allez-y quoi ?
LÉODAGAN,Dites-nous ce que vous avez à nous reprocher.
DAME SÉLI,Oh mais qu’il est con !
YVAIN,Sans me couper ?
LÉODAGAN,Sans vous couper.
LÉODAGAN,S’il vous plaît…
YVAIN,J’estime ne pas avoir à subir les fantasmes carriéristes d’une entité générationnelle réactionnaire et oppressive.
DAME SÉLI,Mais qu’est-ce que ça v…
LÉODAGAN,Tout à fait. Merci mon grand…
LÉODAGAN,Je vous cherchais.
ARTHUR,Vous me cherchiez à trois heures du matin ?
LÉODAGAN,Je voulais juste vous dire deux mots sur cette histoire de tourelles…
ARTHUR,Ah non ! Vous allez pas revenir me bourrer le mou avec vos tourelles !
ARTHUR,Justement quoi ?
ARTHUR,Un peu obstiné ? Ça fait des semaines que vous me cassez les couilles !
ARTHUR,À propos de quoi ?
LÉODAGAN,J’écoute ce que vous avez à me dire sur les tourelles et je vous coupe pas.
ARTHUR,Et après ?
ARTHUR,Donc… qu’est-ce que je fais ? Je vous dis ce que je pense des tourelles ?
MERLIN,Vous passez pour un con parce que vous écoutez ?
MERLIN,Mais… parce que c’est du flan ?
LÉODAGAN,Qu’est-ce que vous voulez que ce soit ?
MERLIN,De la vraie écoute ! Qui mène à la réflexion !
PERCEVAL,Je sais pas… (à Karadoc) Qu’est-ce que vous en dites ?
KARADOC,Ça m’est égal.
KARADOC,Allez.
KARADOC,Heu… Je me souviens plus : on jouait avec les règles à l’Aquitaine ?
PERCEVAL,Ah bon ?
KARADOC,Suivant comme vous avez l'habitude…
KARADOC,Mais on tourne dans quel sens ?
KARADOC,Vous avez eu raison de simplifier.
KARADOC,Merde…
ARTHUR,C’est vous beau-père ?
ARTHUR,Qu’est-ce qu’il y en avait des Gobelins ! Je crois que j’en n’ai jamais vu autant d’un coup dans un même endroit.
LÉODAGAN,Vous avez pas compté ?
ARTHUR,Mais comment voulez-vous que je compte ? C’est vous qui avez le sac !
LÉODAGAN,Mais pas du tout ! C’est vous qui l’aviez tout le long du chemin !
LÉODAGAN,Mais non !
ARTHUR,Ah non mais c’est pas vrai !
LÉODAGAN,Je vous le fais pas dire ! Tout ça serait pas arrivé si vous pouviez tenir un sac d’or pendant plus d’une lieue sans vous essouffler !
ARTHUR,C’est vous qui aviez le sac !
ARTHUR,Mais j’ai jamais dit ça !
LÉODAGAN,Mais évidemment que je sais pas retourner à l’entrée ! Vous me prenez pour un clébard ?
LÉODAGAN,Mais… je croyais que vous aviez fini de tous les buter !
ARTHUR,Non mais vous êtes gonflé. C’est vous qui disiez « j’en ai flingué soixante » !
ARTHUR,Mais c’est pas moi qui l’avais !
ARTHUR,Pas moyen de pioncer.
LÉODAGAN,Moi non plus… Et le jour va se lever.
ARTHUR,C’est pas à pleurer de s’asseoir sur un pognon pareil ?
ARTHUR,Vous dites « on »… Il y a du progrès !
ARTHUR,Vous faites bien !
ARTHUR,Ça y est quoi ?
ARTHUR,Quoi ?
ARTHUR,Eh ben il est pas là !
ARTHUR,En stage ? En stage de quoi ?
ARTHUR,Ah bah bien.
LANCELOT,Vous vous souvenez pas quand ils sont venus nous voir comme quoi « garde » ça pouvait être qu’une situation transitoire et qu’ils voulaient se donner les moyens d’appréhender leur carrière avec enthousiasme ?
LANCELOT,En Calédonie.
GUETHENOC,Je pars… Je pars… Je pars pas vraiment ! Commencez pas à jouer sur l’affectif !
LANCELOT,Bah… Vous venez pas de nous dire que vous partiez ?
GUETHENOC,Je vous ai mis deux petits gars que j’ai formés moi-même. Un pour les récoltes et un pour les bêtes.
LANCELOT,Mais vous nous avez jamais dit que vous vouliez être Pape !
LANCELOT,Pourquoi est-ce qu’ils vous éliraient vous ? Ils vous connaissent pas !
LANCELOT,Vous imaginez le fourbi que ça va être de trouver un scribe chrétien qui retranscrive la légende ?
LANCELOT,Et si vous devenez Pape et que vous revenez pas ?
ARTHUR,Vous parlez d’une journée…
ARTHUR,Quelle histoire ?
ARTHUR,Oui eh ben… ?
ARTHUR,Ben tiens…
LANCELOT,Mais je crois que j’ai besoin de repartir un peu à l’aventure.
ARTHUR,Ah bon.
LANCELOT,Convenons d’un mi-temps.
ARTHUR,Perceval ? Qu’est-ce que vous foutez là à cette heure-ci ?
ARTHUR,Vous en aller ? Où ça ?
GUENIÈVRE,Hé !
ARTHUR,Hein ! Qu’est-ce qui se passe ? GUENIÈVRE — Vous dormez ?
GUENIÈVRE,Vous pouvez me rendre un service ?
ARTHUR,Non !
GUENIÈVRE,Je dois réciter ce poème demain à la Fête des fleurs.
ARTHUR,Qu’est-ce que vous voulez que ça me fasse ?
GUENIÈVRE,Je n’arrive pas à le retenir !
GUENIÈVRE,Je croyais que ce serait plus facile ! C’est sur la nature !
GUENIÈVRE,Mais vous pouvez bien me donner un coup de main !
ARTHUR,Je suis crevé ! Je me lève tôt ! J’ai autre chose à foutre que de réciter des poèmes à deux heures du matin !
GUENIÈVRE,Je vous demande jamais rien !
ARTHUR,Eh ben continuez !
ARTHUR,Eh ben ça fera pour toutes les fois où vous êtes ridicule et que j’y suis pour rien !
ARTHUR,Une heure !
GUENIÈVRE,Une petite heure.
GUENIÈVRE,Eh bah alors ?
ARTHUR,Eh bah alors quoi ?
GUENIÈVRE,Pourquoi vous soupirez ?
ARTHUR,Non mais c’est le poème…
ARTHUR,Il est zéro. Voilà ce qu’il a.
GUENIÈVRE,Non mais vous êtes gonflé !
GUENIÈVRE,On peut savoir ce que Sire Arthur de Bretagne trouve à redire quant au choix du poème que je compte réciter demain et qui m’a pris un temps fou ?
ARTHUR,Vous avez pris un temps fou pour choisir ça ?
GUENIÈVRE,Parfaitement !
ARTHUR,Eh ben ma cousine…
GUENIÈVRE,Oui eh bien ?
GUENIÈVRE,Je trouve révoltant de votre part de mettre systématiquement tout en œuvre pour me décourager !
GUENIÈVRE,Vous ne comprenez rien à rien ! C’est une licence poétique !
ARTHUR,Mais non !
ARTHUR,Ça vous dérange pas !
GUENIÈVRE,Vous avez peut-être mieux à me proposer ?
GUENIÈVRE,« Qui sait combien de fleurs seront tombées encore ? »
ARTHUR,Quoi ?
GUENIÈVRE,Qu’est-ce que ça veut dire : « La nuit s’achève enfin dans le souffle des eaux… » ?
ARTHUR,C’est une licence poétique.
PERCEVAL,Fini ? Mais vous avez même pas commencé…
PERCEVAL,On a pas fini le deuxième plat de viande !
ARTHUR,Et puis il y a les volailles…
ARTHUR,Mais pas du tout !
ARTHUR,C’est une habitude à prendre ! C’est sûr que si vous bouffez que des graines…
KARADOC,Par jour ? Ben… sept !
ARTHUR,Je voulais vous demander… Qu’est-ce que vous pensez du Maître d’Armes ?
KARADOC,À quel point de vue ?
ARTHUR,Alimentaire.
KARADOC,J’aime mieux pas parler de ça. Vous vous rendez compte de l’exemple qu’il donne aux jeunes ?
ARTHUR,Chacun son truc…
GUENIÈVRE,Vous étiez chez Demetra ?
GUENIÈVRE,Encore ? Vous croyez pas que vous exagérez ?
GUENIÈVRE,Vous feriez mieux de prendre exemple sur le Maître d’Armes. Voilà un homme sain.
ARTHUR,C’est vous beau-père ?
ARTHUR,Je vous demande d’aller vous trouver un autre coin que le mien.
LÉODAGAN,Ah bravo… bravo ! Vous pouvez flamber !
ARTHUR,Non mais quand même ! Je vous ai connu moins fair-play ! Je vous interdis le périmètre et vous pensez à me ramener du singe.
LÉODAGAN,Bien aimable.
LÉODAGAN,Qu’est-ce que vous faites ?
LÉODAGAN,Ça me gêne…
LÉODAGAN,Je m’en voudrais de changer vos habitudes…
ANGHARAD,Ben… le vôtre.
ARTHUR,De quoi ?
ARTHUR,Qu’est-ce que vous me chantez ? Qu’est-ce qui se passe demain ?
LANCELOT,Vous avez oublié ?
LANCELOT,Je vous comprends pas.
ARTHUR,Qu’est-ce que vous comprenez pas ?
LANCELOT,Je ne comprends pas comment on peut oublier une chose pareille.
LANCELOT,L’anniversaire de la Reine.
LANCELOT,C’est incroyable.
GUENIÈVRE,Qu’est-ce que vous m’avez fait préparer à manger ?
ARTHUR,Ça je…
GUENIÈVRE,C’est là où on va voir si vous savez ce que j’aime.
GUENIÈVRE,Je pense bien ! Bon appétit !
GUENIÈVRE,Vous mangez pas ?
ARTHUR,Si.
GUENIÈVRE,Ben… non.
LANCELOT,Tout se passe pour le mieux ?
ARTHUR,Royal !
GUENIÈVRE,C’est magnifique !
LANCELOT,Je vois que le Roi s’est souvenu de votre plat préféré…
GUENIÈVRE,Je suis sûre que c’est mon dessert préféré !
LANCELOT,Le… ?
GUENIÈVRE,En longueur ?
LANCELOT,La crème de marrons ?
ARTHUR,Je sais pas…
GUENIÈVRE,Oh merci ! Merci beaucoup !
GUENIÈVRE,Bon ! Et mon cadeau ?
GUENIÈVRE,Comment ?
LANCELOT,Celui que vous m’avez confié tout à l’heure et que vous m’avez demandé d’amener à la fin du repas ?
ARTHUR,Voilà. Joyeux anniversaire.
GUENIÈVRE,Espèce de malade !
ARTHUR,Je ne comprends pas ce qui a pu se passer ! Quelqu’un a dû nous faire une mauvaise blague…
KARADOC,C’est imparable.
PERCEVAL,Un mot compliqué : tac ! « C’est pas faux » et tout le monde y voit que du feu.
PERCEVAL,Mais ça se voit pas !
KARADOC,Et dans une conversation où il y a que des mots difficiles ?
PERCEVAL,Bah si je comprends pas le mot…
PERCEVAL,Ah bon ? Mais on passe pas pour un gland ?
PERCEVAL,Ah… c’est pas faux.
ARTHUR,C’est-à-dire ?
PERCEVAL,Quoi « c’est-à-dire » ?
ARTHUR,Qu’est-ce qui est pas faux ?
ARTHUR,C’est pas faux ?
PERCEVAL,Bah… ouais !
ARTHUR,Vous êtes d’accord aussi pour dire que la définition même des taxes et les critiques qu’elles soulèvent forment une… dichotomie ?
PERCEVAL,Je… Je connais pas ce mot-là.
ANGHARAD,Vous avez raison. J’oublie que je dîne avec une des plus hautes autorités du Royaume…
PERCEVAL,Ah bon.
ANGHARAD,J’ai besoin de vous poser une question — ça va vous paraître un peu osé — mais il faut que je sache…
PERCEVAL,Allez-y.
PERCEVAL,Je connais pas ce mot-là.
ANGHARAD,Vous voulez dire que nos sentiments… divergent ?
KARADOC,Bien. Bravo.
MERLIN,Je suis sûr d’oublier des trucs… Ça m’énerve ! Est-ce que c’est une grosse bataille ?
MERLIN,Je me demandais si ça valait le coup que je prenne mon doubleur de puissance.
LANCELOT,Mais pourquoi ?
MERLIN,Parce que je sais pas où je l’ai foutu.
LÉODAGAN,Vous êtes sûr qu’on les a semés ?
LÉODAGAN,Eh bah il ont dû prendre des cours.
CALOGRENANT,Pas besoin de connaître la magie pour activer des parchemins !
ARTHUR,Qu’est-ce que vous voulez dire ?
LANCELOT,Ça veut dire qu’ils ont trouvé un Enchanteur pour les leur vendre.
ARTHUR,Le lisez pas ! Le lisez pas !
LÉODAGAN,C’est signé Merlin.
LANCELOT,Quoi ?
ARTHUR,Vous vous foutez de moi !
ARTHUR,Ah le salopard de fumier de peigne-cul d’Enchanteur !
LANCELOT,Sire… c’est le nôtre !
LÉODAGAN,Pas que.
LANCELOT,Vous êtes complètement fous ! On ne rentre pas dans le laboratoire d’un enchanteur comme ça !
ARTHUR,Au bout d’un moment : pourquoi pas ?
LÉODAGAN,C’était même pas fermé à clé…
LANCELOT,Merlin a dû protéger ce lieu avec sa magie ! Partons d’ici avant d’être maudits sur cent générations !
LANCELOT,Sire ! Je trouve votre ironie injuste ! Vous savez que je ne suis pas homme à manquer de courage !
ARTHUR,Mais oui. Parfaitement ! C’est pour ça que ça m’étonne de vous voir caquer…
LÉODAGAN,C’est justement pour ça qu’on fouille. Pour trouver des preuves !
LANCELOT,Mais c’est complètement idiot ! Qu’est-ce que vous voulez trouver dans ce fatras ?
LÉODAGAN,Une trace… Il est tellement glandu qu’il a dû en semer dans tous les coins.
LANCELOT,Je rappelle tout de même qu’il peut arriver d’une minute à l’autre ! Je voudrais bien savoir ce que vous comptez lui dire s’il vous voit en train de fouiller son atelier !
MERLIN,Je ne supporte pas qu’on fouille dans mes affaires !
LANCELOT,Mais on ne fouillait pas !
ARTHUR,Comment « on fouillait pas » ?
LÉODAGAN,On fouillait carrément…
MERLIN,Ho mais je sais ! Je sais bien ce que vous avez dans le crâne ! Vous pensez que j’ai vendu des parchemins aux autres machins !
LÉODAGAN,…et qu’ils étaient signés de votre main…
ARTHUR,Mettez-vous à notre place ! Ça pue la trahison…
ARTHUR,Quoi ?
LÉODAGAN,C’est pas possible ?
LANCELOT,Tout s’explique !
MERLIN,J’attends vos excuses…
MERLIN,Bon bah… disons qu’on est quittes.
LANCELOT,Vous vouliez me voir ?
LANCELOT,Ah bon ?
LANCELOT,Quoi ? Mais c’est terrible !
GUENIÈVRE,Je vous félicite ! C’est la plus jolie placette du château !
ARTHUR,Qu’est-ce que vous voulez que je dise ?
GUENIÈVRE,Mais je ne sais pas… Vous pourriez engager la conversation sur quelque chose !
TEGEIRIAN,Vous êtes en avance…
ARTHUR,Possible…
TEGEIRIAN,Moi aussi.
ARTHUR,Vous aussi quoi ?
TEGEIRIAN,C’est-à-dire que je voulais surtout pas être en retard…
TEGEIRIAN,Vous savez que ça fait quatre fois qu’on se voit et que vous m’avez toujours pas prise dans vos bras ?
ARTHUR,J’hésite.
TEGEIRIAN,Vous hésitez ?
ARTHUR,Je me demande combien de temps vous allez mettre avant de commencer à me faire chier.
ARTHUR,Deux semaines ? Trois ?
LÉODAGAN,Mais je croyais qu’il dormait !
LÉODAGAN,Mais c’est pas vrai !
LÉODAGAN,Comment ça « le Roi a besoin de lui » ?
LÉODAGAN,Mais… il vous a pas dit que…
TEGEIRIAN,Que quoi ?
LÉODAGAN,Et vous me dites que vous êtes…
TEGEIRIAN,Mais quoi ?
LÉODAGAN,Voilà. Je vous ai fait un frichti avec ce que j’ai trouvé.
TEGEIRIAN,Merci beaucoup.
TEGEIRIAN,Il va sûrement se décoincer…
TEGEIRIAN,Vous croyez que c’est une preuve d’amour ?
YVAIN,Il n’est pas question qu’on revienne encore bredine !
ARTHUR,Bredouille.
YVAIN,Comment ?
ARTHUR,Qu’on revienne bredouille.
YVAIN,Ah mince.
ARTHUR,Les quoi ?
YVAIN,C’est pas des pièces pour acheter ? C’est des pièces comme un vestibule !
YVAIN,Ah ! J’en étais sûr !
YVAIN,C’est pas un peu chaud ?
YVAIN,J’ai eu chaud.
GAUVAIN,Le sol de ce mystérieux repaire est des plus irréguliers ! Nous devrons redoubler de prudence au risque de numéroter nos abattis !
GAUVAIN,Comment ça ?
GAUVAIN,Oui…
YVAIN,Vous avez vérifié sur trois cent soixante degrés s’il y avait pas de danger.
GAUVAIN,Tout à fait.
GAUVAIN,La discipline est mère de sagesse !
GAUVAIN,Bigre ! Je n’avais pas pensé à ça.
GAUVAIN,Ça voudrait dire qu’il faudrait retourner à l’entrée du temple perdu et refaire le chemin en entier avec un seul test !
GAUVAIN,Sept Cent Trente-Quatre !
GAUVAIN,On multiplie la sécurité par deux !
GAUVAIN,Moins on prend de risques !
YVAIN,On y va !
GAUVAIN,Et les ennemis n’ont qu’à bien se tenir !
YVAIN,Qu’est-ce qui nous arrive ?
GAUVAIN,Un vil sorcier nous aura jeté quelque malédiction !
GAUVAIN,Renoncer ? Mais ce serait faillir à notre mission !
GAUVAIN,Mon oncle va être terriblement déçu…
GAUVAIN,Oui et on a amélioré notre système de sécurité !
YVAIN,Il faudrait qu’on ramène une preuve qu’on est arrivés jusqu’ici ! On pourrait desceller la pierre qu’on a vue tout à l’heure !
GAUVAIN,Celle avec le dragon gravé ?
GAUVAIN,Non mais j’ai vomi dessus.
YVAIN,Ah… Bah non alors.
GAUVAIN,Prenons quelques-uns de ces fétus de paille !
ARTHUR,Mais c’est bon ! On est presque arr…
KARADOC,Sire ! Sire ! Youhou !
KARADOC,On a failli pas vous reconnaître avec votre déguisement !
DAME MEVANWI,Allez vite faire une bise à tonton Arthur !
ARTHUR,Je me promène.
DAME MEVANWI,Vous avez trouvé de jolies choses ?
KARADOC,Vous avez trouvé le Graal ?
ARTHUR,L’heure de quoi ?
ARTHUR,L’heure des pupi ?
KARADOC,Ah les cons !
KARADOC,Vous pouvez bien nous filer un coup de main !
KARADOC,Moi non plus.
PERCEVAL,« Principale… »
PERCEVAL,Et merde.
KARADOC,C’est dégueulasse.
ARTHUR,Ah ouais. Carrément.
BOHORT,Cinquante-cinq pour cent des personnes interrogées estiment que l’hygiène est insuffisante mais douze pour cent d’entre eux précisent qu’ils sentent un net progrès.
BOHORT,Trente-deux pour cent de la population estiment que le Roi Arthur a trop de responsabilités et qu’il devrait apprendre à déléguer.
BOHORT,Vingt-trois pour cent de la population estiment que le Seigneur Léodagan devrait prendre la place du Roi.
ARTHUR,Quoi ?
LÉODAGAN,Quoi ?
BOHORT,Trente-trois pour cent de la population de Bretagne estiment qu’il est intolérable de la part des Chevaliers de la Table Ronde de n’avoir toujours pas trouvé le Saint-Graal.
LANCELOT,Ils sont trop contents d’habiter un pays progressiste ! Qui laisse le peuple s’exprimer !
DAME SÉLI,Combien de « pour cent » vous avez dit ?
LÉODAGAN,Je sais plus… Plus de la moitié !
DAME SÉLI,Vous rigolez ?
DAME SÉLI,Qu’est-ce que vous foutez ?
LÉODAGAN,Je casse tout dans la piaule. Il faut bien commencer !
LANCELOT,Sire ! Vous êtes déjà rentré ?
ARTHUR,Je m’excuse de vous réveiller mais j’ai croisé quelques hommes en arrivant qui m’ont dit que vous étiez pas en pleine forme…
LANCELOT,Comment vous dites ?
LANCELOT,Eh ben bannissez-moi ! Qu’est-ce que j’en ai à foutre ?
ARTHUR,Vous étiez assis sur mon trône ? Non mais faut pas vous gêner !
LANCELOT,Vous étiez pas là et je présidais !
LANCELOT,J’ai jamais dit ça.
LANCELOT,Mais je sais bien…
LANCELOT,Je suis pas votre bras droit ?
LANCELOT,Mais c’est pas officiel ?
ARTHUR,Non…
LANCELOT,Ah non mais ça m’apprendra à faire du zèle…
ARTHUR,Vous voulez que je vous nomme bras droit officiel ?
LANCELOT,Eh ben faites des efforts pour arrêter de vous comporter comme un connard !
ARTHUR,Non. Il me déteste encore plus qu’avant.
ARTHUR,Bon. Eh ben je suppose que c’est maintenant que je m’y colle ?
ARTHUR,Comme vous voulez.
CALOGRENANT,« … hourra pour le Roi ! Longue vie à Arthur ! Longue vie à Arthur ! »
ARTHUR,C’est fini ? Très bien.
CALOGRENANT,À peu de choses près.
CALOGRENANT,Rien.
CALOGRENANT,Voilà.
GAUVAIN,Mais j’ai pas fini…
ARTHUR,Ah pardon. Je vous écoute.
GAUVAIN,Non… Je suis désolé mon oncle mais j’ai eu un peu de mal à mémoriser la fin…
GAUVAIN,C’est la tournure ?
ARTHUR,Comment ça « ma coupe » ?
ARTHUR,« … le Roi avec sa coupe comme avant terrassa le cruel géant » ?
GAUVAIN,Vous voulez que je recommence sans « la coupe comme avant » ?
YVAIN,« La colombe blanche et sèche
YVAIN,J’ai fini.
ARTHUR,« La colombe blanche et sèche »… Qu’est-ce que vous voulez dire par là ?
ARTHUR,Si.
YVAIN,Elle est pas sèche ?
ARTHUR,Qu’est-ce qui rime avec « blanche et sèche » ? « Poitrine » ?
KARADOC,C’est un principe.
KARADOC,Vous ?
PERCEVAL,Vous nous en aviez jamais parlé…
KARADOC,Mais… il sait se battre ou pas ?
PERCEVAL,Vous avez pas peur que ce soit un peu risqué ?
KARADOC,Ben… les combats de chiens !
